Architecture,Source Dataset,Target Dataset,Oracle
resnet50,oxford_pets,voc2007,97.4680744672667
resnet50,cub200,voc2007,97.17285945072697
resnet50,caltech101,voc2007,97.29209939226095
resnet50,stanford_dogs,voc2007,97.43153319486115
resnet50,cifar10,voc2007,97.45653511808601
resnet50,imagenet,voc2007,97.47192091699361
resnet18,nabird,voc2007,94.1630125394261
resnet18,oxford_pets,voc2007,96.62474036464343
resnet18,cub200,voc2007,93.65624278790676
resnet18,caltech101,voc2007,96.56415878144473
resnet18,stanford_dogs,voc2007,96.170859296869
resnet18,cifar10,voc2007,96.38049080698515
resnet18,imagenet,voc2007,96.7439803061774
googlenet,nabird,voc2007,94.78229094545735
googlenet,oxford_pets,voc2007,95.97180552350181
googlenet,cub200,voc2007,95.79775367335948
googlenet,caltech101,voc2007,95.88718362950996
googlenet,stanford_dogs,voc2007,95.78429109931534
googlenet,cifar10,voc2007,96.21701669359182
googlenet,imagenet,voc2007,95.95449649973075
alexnet,nabird,voc2007,95.50350026925149
alexnet,oxford_pets,voc2007,95.95449649973075
alexnet,cub200,voc2007,95.77467497499808
alexnet,caltech101,voc2007,95.92372490191553
alexnet,stanford_dogs,voc2007,95.77659819986152
alexnet,cifar10,voc2007,95.81217785983537
alexnet,imagenet,voc2007,95.93622586352797
